# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.22,0.00
1,1000,5.13,0.19
2,1000,5.12,0.39
4,1000,5.13,0.78
8,1000,5.13,1.56
16,1000,5.13,3.12
32,1000,5.12,6.26
64,1000,5.13,12.47
128,1000,5.17,24.74
256,1000,5.20,49.28
512,1000,6.56,78.05
1024,1000,6.73,152.26
2048,1000,6.93,295.41
4096,1000,7.50,545.92
8192,1000,8.38,978.05
16384,1000,15.10,1085.01
32768,1000,22.39,1463.32
65536,640,39.33,1666.18
131072,320,72.75,1801.80
262144,160,53.81,4871.55
524288,80,89.71,5844.28
1048576,40,153.26,6841.99
2097152,20,304.76,6881.31
4194304,10,646.98,6482.92
