# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.50,0.00
1,1000,0.47,2.13
2,1000,0.47,4.27
4,1000,0.48,8.34
8,1000,0.46,17.27
16,1000,0.50,32.16
32,1000,0.46,68.91
64,1000,0.47,135.01
128,1000,0.47,270.24
256,1000,0.50,511.71
512,1000,0.76,671.16
1024,1000,0.82,1245.83
2048,1000,0.94,2186.58
4096,1000,1.15,3566.81
8192,1000,1.57,5213.30
16384,1000,2.43,6732.43
32768,1000,3.53,9281.16
65536,640,5.91,11087.57
131072,320,8.82,14865.31
262144,160,15.40,17018.53
524288,80,40.56,12926.61
1048576,40,84.14,12461.63
2097152,20,166.27,12612.86
4194304,10,387.15,10833.68
