# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.25
2,1000,0.44,4.50
4,1000,0.44,9.02
8,1000,0.44,18.12
16,1000,0.44,36.08
32,1000,0.49,64.93
64,1000,0.48,132.19
128,1000,0.61,211.16
256,1000,0.64,402.63
512,1000,0.89,573.85
1024,1000,0.98,1046.42
2048,1000,1.09,1879.24
4096,1000,1.55,2641.64
8192,1000,2.07,3959.46
16384,1000,3.46,4732.84
32768,1000,5.30,6182.19
65536,640,9.09,7212.85
131072,320,15.14,8657.06
262144,160,29.56,8868.12
524288,80,67.85,7727.50
1048576,40,132.05,7940.54
2097152,20,257.90,8131.77
4194304,10,510.93,8209.13
