# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.48,2.08
2,1000,0.48,4.18
4,1000,0.48,8.38
8,1000,0.48,16.74
16,1000,0.48,33.53
32,1000,0.50,63.75
64,1000,0.50,128.12
128,1000,0.60,214.54
256,1000,0.63,404.04
512,1000,0.97,528.72
1024,1000,0.99,1034.55
2048,1000,1.15,1786.32
4096,1000,1.61,2546.95
8192,1000,2.12,3868.97
16384,1000,3.63,4511.65
32768,1000,5.30,6182.08
65536,640,9.39,6977.31
131072,320,15.13,8665.21
262144,160,27.60,9496.72
524288,80,67.85,7726.59
1048576,40,132.07,7939.55
2097152,20,256.99,8160.32
4194304,10,510.60,8214.43
