# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.52,0.00
1,1000,1.52,0.66
2,1000,1.52,1.32
4,1000,1.53,2.62
8,1000,1.52,5.25
16,1000,1.52,10.50
32,1000,1.53,20.92
64,1000,1.67,38.39
128,1000,1.85,69.24
256,1000,1.88,136.42
512,1000,1.95,262.26
1024,1000,2.00,511.95
2048,1000,2.44,839.02
4096,1000,3.70,1107.31
8192,1000,3.95,2072.37
16384,1000,4.48,3655.08
32768,1000,5.39,6081.37
65536,640,7.13,9195.44
131072,320,10.71,12233.19
262144,160,18.37,14273.76
524288,80,38.35,13670.27
1048576,40,99.14,10576.81
2097152,20,230.03,9117.05
4194304,10,469.54,8932.78
