# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.40,0.00
1,1000,10.38,0.10
2,1000,10.38,0.19
4,1000,10.36,0.39
8,1000,10.29,0.78
16,1000,10.36,1.54
32,1000,10.31,3.10
64,1000,9.06,7.06
128,1000,9.12,14.03
256,1000,9.19,27.86
512,1000,11.71,43.73
1024,1000,12.01,85.26
2048,1000,14.96,136.91
4096,1000,17.21,237.98
8192,1000,18.41,444.98
16384,1000,29.41,557.14
32768,1000,41.48,789.97
65536,640,69.19,947.22
131072,320,128.23,1022.15
262144,160,169.87,1543.19
524288,80,273.94,1913.90
1048576,40,482.70,2172.32
2097152,20,896.67,2338.83
4194304,10,1686.67,2486.74
