# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.26
2,1000,0.21,9.40
4,1000,0.21,18.91
8,1000,0.21,38.07
16,1000,0.21,75.84
32,1000,0.25,127.69
64,1000,0.25,257.27
128,1000,0.36,354.58
256,1000,0.37,689.02
512,1000,0.45,1131.46
1024,1000,0.55,1852.54
2048,1000,0.77,2653.30
4096,1000,1.14,3585.71
8192,1000,1.90,4320.40
16384,1000,2.96,5531.47
32768,1000,4.78,6858.63
65536,640,8.11,8077.26
131072,320,14.64,8952.26
262144,160,14.00,18726.54
524288,80,24.84,21109.91
1048576,40,58.17,18025.73
2097152,20,158.74,13211.08
4194304,10,319.87,13112.43
