# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.63,0.00
1,1000,15.73,0.06
2,1000,15.73,0.13
4,1000,15.74,0.25
8,1000,15.73,0.51
16,1000,15.76,1.02
32,1000,15.80,2.02
64,1000,15.85,4.04
128,1000,16.21,7.90
256,1000,16.34,15.67
512,1000,16.56,30.91
1024,1000,16.98,60.30
2048,1000,39.04,52.45
4096,1000,39.28,104.27
8192,1000,40.15,204.03
16384,1000,41.98,390.27
32768,1000,49.35,663.99
65536,640,148.07,442.60
131072,320,145.89,898.41
262144,160,194.24,1349.62
524288,80,284.12,1845.29
1048576,40,3668.82,285.81
2097152,20,828.10,2532.49
4194304,10,1583.27,2649.13
