# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.74,0.00
1,1000,8.86,0.11
2,1000,8.86,0.23
4,1000,8.86,0.45
8,1000,8.87,0.90
16,1000,8.88,1.80
32,1000,8.88,3.60
64,1000,8.85,7.23
128,1000,9.15,13.98
256,1000,9.23,27.73
512,1000,9.29,55.11
1024,1000,10.40,98.44
2048,1000,9.83,208.42
4096,1000,11.61,352.78
8192,1000,12.43,659.03
16384,1000,16.74,978.55
32768,1000,27.02,1212.65
65536,640,62.00,1056.98
131072,320,84.15,1557.52
262144,160,118.08,2219.97
524288,80,187.85,2791.03
1048576,40,332.89,3149.90
2097152,20,638.51,3284.43
4194304,10,1322.09,3172.48
