# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.27
2,1000,0.42,4.74
4,1000,0.42,9.57
8,1000,0.42,19.21
16,1000,0.42,38.31
32,1000,0.57,56.28
64,1000,0.59,109.09
128,1000,1.04,122.65
256,1000,1.09,234.66
512,1000,1.25,410.67
1024,1000,1.47,698.30
2048,1000,2.08,984.66
4096,1000,2.95,1386.73
8192,1000,4.66,1756.36
16384,1000,7.22,2270.22
32768,1000,12.69,2582.83
65536,640,23.90,2742.14
131072,320,44.44,2949.68
262144,160,14.79,17725.76
524288,80,25.78,20337.43
1048576,40,60.01,17472.88
2097152,20,155.96,13446.51
4194304,10,324.48,12926.04
