# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,13.86,0.00
1,1000,13.99,0.07
2,1000,13.88,0.14
4,1000,13.74,0.29
8,1000,13.66,0.59
16,1000,13.81,1.16
32,1000,13.79,2.32
64,1000,13.71,4.67
128,1000,13.74,9.31
256,1000,14.03,18.25
512,1000,14.23,35.98
1024,1000,11.71,87.42
2048,1000,14.33,142.93
4096,1000,15.85,258.44
8192,1000,17.95,456.31
16384,1000,23.20,706.33
32768,1000,37.18,881.39
65536,640,79.87,820.50
131072,320,117.59,1114.66
262144,160,209.91,1248.84
524288,80,311.41,1683.58
1048576,40,512.58,2045.69
2097152,20,918.34,2283.64
4194304,10,1791.55,2341.17
