# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.41,4.83
4,1000,0.42,9.57
8,1000,0.43,18.79
16,1000,0.42,38.40
32,1000,0.56,56.73
64,1000,0.56,114.11
128,1000,1.08,118.60
256,1000,1.10,232.37
512,1000,1.21,422.92
1024,1000,1.47,695.40
2048,1000,2.10,976.80
4096,1000,2.97,1377.30
8192,1000,4.68,1750.58
16384,1000,7.38,2218.58
32768,1000,13.08,2505.09
65536,640,23.87,2745.68
131072,320,45.92,2854.28
262144,160,14.62,17929.52
524288,80,25.93,20221.60
1048576,40,61.02,17183.18
2097152,20,156.17,13428.47
4194304,10,325.91,12869.69
