# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.55
2,1000,0.28,7.13
4,1000,0.28,14.24
8,1000,0.28,28.79
16,1000,0.29,55.39
32,1000,0.29,109.67
64,1000,0.32,199.05
128,1000,0.38,336.89
256,1000,0.42,616.52
512,1000,0.60,848.02
1024,1000,0.68,1511.69
2048,1000,0.82,2497.77
4096,1000,1.74,2355.14
8192,1000,1.99,4114.43
16384,1000,2.55,6430.64
32768,1000,3.50,9358.12
65536,640,5.47,11982.64
131072,320,9.47,13838.06
262144,160,17.39,15071.89
524288,80,36.86,14224.84
1048576,40,98.51,10644.57
2097152,20,230.10,9113.93
4194304,10,519.84,8068.51
