# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.56,1.80
2,1000,0.57,3.51
4,1000,0.56,7.09
8,1000,0.57,14.12
16,1000,0.60,26.70
32,1000,0.66,48.52
64,1000,0.72,88.72
128,1000,0.89,144.62
256,1000,1.11,229.83
512,1000,1.22,418.30
1024,1000,1.52,672.53
2048,1000,1.67,1225.37
4096,1000,2.50,1639.11
8192,1000,3.16,2590.21
16384,1000,3.85,4251.03
32768,1000,4.80,6830.67
65536,640,6.51,10066.29
131072,320,10.31,12712.25
262144,160,18.36,14281.15
524288,80,39.97,13116.20
1048576,40,100.74,10409.08
2097152,20,236.71,8859.42
4194304,10,488.64,8583.66
