# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.93,0.00
1,1000,5.02,0.20
2,1000,5.02,0.40
4,1000,5.03,0.80
8,1000,5.00,1.60
16,1000,5.02,3.19
32,1000,5.01,6.39
64,1000,5.04,12.70
128,1000,5.12,25.00
256,1000,5.13,49.91
512,1000,5.19,98.58
1024,1000,5.79,176.86
2048,1000,5.58,366.80
4096,1000,6.45,634.84
8192,1000,6.96,1177.36
16384,1000,9.03,1813.61
32768,1000,14.51,2258.05
65536,640,29.22,2242.82
131072,320,36.85,3557.04
262144,160,50.79,5161.57
524288,80,85.77,6112.89
1048576,40,146.78,7144.03
2097152,20,301.49,6955.87
4194304,10,643.85,6514.40
