# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.25
2,1000,0.44,4.49
4,1000,0.44,9.03
8,1000,0.44,18.07
16,1000,0.44,36.23
32,1000,0.49,65.35
64,1000,0.48,133.20
128,1000,0.59,216.53
256,1000,0.63,406.70
512,1000,0.97,525.94
1024,1000,1.00,1023.83
2048,1000,1.15,1786.78
4096,1000,1.63,2516.78
8192,1000,2.04,4018.82
16384,1000,3.51,4665.09
32768,1000,5.27,6214.52
65536,640,9.06,7235.27
131072,320,15.08,8693.52
262144,160,27.50,9533.15
524288,80,67.51,7765.54
1048576,40,132.32,7924.50
2097152,20,256.87,8164.32
4194304,10,511.49,8200.15
