# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.46,0.00
1,1000,0.47,2.15
2,1000,0.46,4.30
4,1000,0.47,8.54
8,1000,0.47,17.20
16,1000,0.47,34.27
32,1000,0.49,65.27
64,1000,0.49,130.17
128,1000,0.58,220.26
256,1000,0.63,407.50
512,1000,0.89,576.83
1024,1000,0.98,1046.68
2048,1000,1.09,1870.73
4096,1000,1.59,2568.18
8192,1000,2.08,3934.60
16384,1000,3.68,4451.38
32768,1000,5.47,5986.64
65536,640,9.12,7185.85
131072,320,15.17,8641.78
262144,160,27.98,9370.37
524288,80,68.47,7657.31
1048576,40,132.48,7914.92
2097152,20,255.49,8208.36
4194304,10,512.77,8179.70
