# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.25
2,1000,0.44,4.51
4,1000,0.44,9.00
8,1000,0.44,18.06
16,1000,0.44,36.06
32,1000,0.49,65.68
64,1000,0.48,133.94
128,1000,0.59,217.32
256,1000,0.63,407.82
512,1000,0.98,522.76
1024,1000,1.05,979.41
2048,1000,1.17,1744.60
4096,1000,1.62,2532.32
8192,1000,2.20,3729.17
16384,1000,3.55,4619.27
32768,1000,5.38,6087.23
65536,640,9.22,7111.01
131072,320,15.28,8578.06
262144,160,27.98,9370.14
524288,80,67.92,7719.34
1048576,40,132.29,7926.52
2097152,20,257.17,8154.80
4194304,10,509.90,8225.77
