# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47}
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.03,0.00
1,1000,10.01,0.10
2,1000,10.00,0.20
4,1000,9.98,0.40
8,1000,9.95,0.80
16,1000,9.98,1.60
32,1000,9.98,3.21
64,1000,10.00,6.40
128,1000,10.18,12.57
256,1000,36.73,6.97
512,1000,36.60,13.99
1024,1000,67.92,15.08
2048,1000,31.05,65.96
4096,1000,29.98,136.62
8192,1000,47.25,173.37
16384,1000,47.79,342.87
32768,1000,41.20,795.38
65536,640,81.46,804.48
131072,320,92.96,1410.01
262144,160,121.82,2151.88
524288,80,235.25,2228.62
1048576,40,450.87,2325.67
2097152,20,874.96,2396.84
4194304,10,2079.24,2017.22
