# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.96,0.00
1,1000,5.07,0.20
2,1000,5.05,0.40
4,1000,5.06,0.79
8,1000,5.05,1.58
16,1000,5.07,3.16
32,1000,5.07,6.31
64,1000,5.09,12.57
128,1000,5.13,24.94
256,1000,5.19,49.36
512,1000,5.24,97.63
1024,1000,5.81,176.28
2048,1000,5.61,364.75
4096,1000,6.42,637.95
8192,1000,6.91,1185.31
16384,1000,8.79,1863.72
32768,1000,14.32,2287.80
65536,640,29.37,2231.46
131072,320,36.61,3580.42
262144,160,51.13,5126.67
524288,80,85.77,6112.66
1048576,40,146.52,7156.60
2097152,20,305.51,6864.46
4194304,10,652.73,6425.79
