# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.38,0.00
1,1000,8.50,0.12
2,1000,8.53,0.23
4,1000,8.51,0.47
8,1000,8.51,0.94
16,1000,8.51,1.88
32,1000,8.51,3.76
64,1000,8.53,7.50
128,1000,8.83,14.50
256,1000,8.88,28.84
512,1000,8.93,57.33
1024,1000,10.23,100.15
2048,1000,9.38,218.41
4096,1000,11.51,355.98
8192,1000,12.08,678.14
16384,1000,16.73,979.18
32768,1000,27.08,1209.90
65536,640,61.75,1061.31
131072,320,83.18,1575.75
262144,160,116.92,2242.02
524288,80,187.64,2794.10
1048576,40,332.53,3153.34
2097152,20,643.03,3261.36
4194304,10,1324.85,3165.87
