# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.35,0.74
2,1000,1.35,1.48
4,1000,1.35,2.96
8,1000,1.35,5.91
16,1000,1.35,11.82
32,1000,1.39,23.04
64,1000,1.67,38.29
128,1000,1.72,74.61
256,1000,2.00,127.86
512,1000,2.06,248.00
1024,1000,2.35,436.23
2048,1000,2.97,688.48
4096,1000,3.93,1042.85
8192,1000,5.50,1489.61
16384,1000,7.28,2249.09
32768,1000,10.04,3262.91
65536,640,14.53,4511.76
131072,320,23.52,5572.69
262144,160,33.21,7894.55
524288,80,55.65,9421.45
1048576,40,98.81,10612.53
2097152,20,185.98,11276.32
4194304,10,354.75,11823.17
