# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.36,0.74
2,1000,1.36,1.47
4,1000,1.36,2.95
8,1000,1.36,5.90
16,1000,1.36,11.78
32,1000,1.39,23.01
64,1000,1.69,37.92
128,1000,1.73,74.07
256,1000,2.00,127.89
512,1000,2.08,245.86
1024,1000,2.32,441.49
2048,1000,2.97,688.48
4096,1000,3.97,1030.59
8192,1000,5.53,1481.86
16384,1000,7.33,2234.64
32768,1000,10.03,3265.59
65536,640,14.55,4503.47
131072,320,23.50,5577.68
262144,160,33.25,7884.82
524288,80,58.13,9019.38
1048576,40,98.80,10612.80
2097152,20,184.68,11355.47
4194304,10,354.69,11825.42
