# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.92,0.00
1,1000,9.04,0.11
2,1000,9.03,0.22
4,1000,9.05,0.44
8,1000,9.06,0.88
16,1000,9.01,1.77
32,1000,9.04,3.54
64,1000,9.09,7.04
128,1000,9.36,13.67
256,1000,9.47,27.05
512,1000,9.48,54.00
1024,1000,10.59,96.71
2048,1000,9.94,206.00
4096,1000,11.81,346.93
8192,1000,12.66,647.29
16384,1000,17.15,955.28
32768,1000,27.42,1194.92
65536,640,64.02,1023.69
131072,320,84.20,1556.62
262144,160,119.14,2200.37
524288,80,189.57,2765.64
1048576,40,334.17,3137.89
2097152,20,645.00,3251.42
4194304,10,1336.85,3137.45
