# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.42,2.40
2,1000,0.42,4.78
4,1000,0.42,9.58
8,1000,0.42,19.14
16,1000,0.42,38.42
32,1000,0.57,56.38
64,1000,0.57,111.77
128,1000,1.07,119.48
256,1000,1.11,229.96
512,1000,1.21,423.15
1024,1000,1.48,691.17
2048,1000,2.10,975.05
4096,1000,2.97,1379.36
8192,1000,4.71,1740.61
16384,1000,7.28,2249.67
32768,1000,12.93,2534.94
65536,640,24.00,2730.67
131072,320,44.52,2944.00
262144,160,14.78,17741.69
524288,80,26.25,19973.14
1048576,40,60.82,17240.15
2097152,20,157.41,13323.23
4194304,10,336.94,12448.05
