# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.48,2.08
2,1000,0.48,4.15
4,1000,0.48,8.27
8,1000,0.48,16.61
16,1000,0.48,33.31
32,1000,0.51,62.96
64,1000,0.51,126.38
128,1000,0.59,215.70
256,1000,0.63,406.22
512,1000,0.92,558.00
1024,1000,0.99,1038.32
2048,1000,1.12,1828.01
4096,1000,1.65,2476.54
8192,1000,2.05,4005.07
16384,1000,3.44,4757.99
32768,1000,5.35,6120.34
65536,640,9.34,7012.95
131072,320,15.22,8613.51
262144,160,28.49,9199.88
524288,80,67.59,7756.84
1048576,40,132.69,7902.22
2097152,20,256.42,8178.65
4194304,10,510.35,8218.54
