# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.40,0.00
1,1000,10.39,0.10
2,1000,10.32,0.19
4,1000,10.34,0.39
8,1000,10.25,0.78
16,1000,8.71,1.84
32,1000,8.50,3.77
64,1000,8.53,7.51
128,1000,8.51,15.04
256,1000,8.64,29.62
512,1000,11.30,45.32
1024,1000,11.64,87.94
2048,1000,14.62,140.10
4096,1000,15.56,263.26
8192,1000,17.81,459.92
16384,1000,27.40,597.92
32768,1000,39.56,828.39
65536,640,67.05,977.44
131072,320,122.94,1066.17
262144,160,168.78,1553.16
524288,80,269.49,1945.50
1048576,40,471.86,2222.20
2097152,20,820.52,2555.90
4194304,10,1541.96,2720.11
