# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.04,0.00
1,1000,8.79,0.11
2,1000,8.79,0.23
4,1000,8.74,0.46
8,1000,8.73,0.92
16,1000,8.74,1.83
32,1000,8.75,3.66
64,1000,8.73,7.33
128,1000,8.82,14.51
256,1000,8.85,28.92
512,1000,11.17,45.83
1024,1000,11.59,88.33
2048,1000,14.24,143.80
4096,1000,15.90,257.69
8192,1000,17.94,456.56
16384,1000,28.93,566.39
32768,1000,41.21,795.21
65536,640,68.31,959.37
131072,320,125.75,1042.32
262144,160,175.49,1493.80
524288,80,275.88,1900.45
1048576,40,462.48,2267.29
2097152,20,822.00,2551.27
4194304,10,1560.93,2687.05
