# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.29,3.43
2,1000,0.28,7.20
4,1000,0.28,14.19
8,1000,0.28,28.50
16,1000,0.29,55.55
32,1000,0.30,107.25
64,1000,0.30,214.25
128,1000,0.31,419.50
256,1000,0.32,799.89
512,1000,0.55,930.94
1024,1000,0.61,1685.76
2048,1000,0.74,2781.48
4096,1000,0.94,4350.11
8192,1000,1.46,5596.26
16384,1000,2.40,6812.99
32768,1000,3.66,8942.06
65536,640,5.96,10997.25
131072,320,8.93,14676.55
262144,160,15.68,16717.59
524288,80,40.35,12992.95
1048576,40,84.31,12437.61
2097152,20,162.77,12884.11
4194304,10,412.71,10162.77
