# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 9.59 usec; Calculated Bandwidth = 2777.71 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,9.57,0.0,11.581,0.0
1,1000,9.6,0.1,11.581,0.086
2,1000,9.57,0.21,11.581,0.173
4,1000,9.57,0.42,11.582,0.345
8,1000,9.64,0.83,11.584,0.691
16,1000,9.6,1.67,11.587,1.381
32,1000,9.6,3.33,11.592,2.76
64,1000,9.59,6.67,11.604,5.515
128,1000,9.77,13.1,11.627,11.009
256,1000,16.54,15.47,11.673,21.931
512,1000,19.59,26.14,11.765,43.519
1024,1000,25.7,39.85,11.949,85.695
2048,1000,21.15,96.85,12.318,166.26
4096,1000,21.25,192.71,13.055,313.741
8192,1000,21.48,381.32,14.53,563.801
16384,1000,23.61,693.93,17.479,937.346
32768,1000,31.67,1034.55,23.378,1401.688
65536,640,49.59,1321.51,35.174,1863.179
131072,320,70.21,1866.79,58.768,2230.336
262144,160,109.47,2394.73,105.955,2474.11
524288,80,194.58,2694.49,200.329,2617.135
1048576,40,355.8,2947.09,389.077,2695.033
2097152,20,675.58,3104.22,766.574,2735.747
4194304,10,1575.18,2662.75,1521.567,2756.569
