# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.5 usec; Calculated Bandwidth = 11147.559 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.5,0.0,1.152,0.0
1,1000,0.51,1.97,1.152,0.868
2,1000,0.5,3.98,1.152,1.736
4,1000,0.49,8.08,1.152,3.474
8,1000,0.5,16.1,1.151,6.949
16,1000,0.49,32.6,1.15,13.907
32,1000,0.51,62.31,1.149,27.849
64,1000,0.51,125.86,1.146,55.837
128,1000,0.52,248.51,1.14,112.237
256,1000,0.51,504.72,1.129,226.757
512,1000,0.73,701.39,1.106,462.931
1024,1000,0.83,1237.75,1.06,965.977
2048,1000,0.97,2119.81,0.968,2115.249
4096,1000,1.15,3566.2,0.784,5221.225
8192,1000,1.61,5084.98,0.417,19642.468
16384,1000,2.45,6679.16,0.318,51552.182
32768,1000,3.62,9058.83,1.788,18331.207
65536,640,5.86,11178.18,4.727,13864.095
131072,320,8.82,14856.52,10.606,12358.304
262144,160,16.07,16311.39,22.364,11721.75
524288,80,41.34,12682.08,45.88,11427.446
1048576,40,83.86,12503.18,92.911,11285.767
2097152,20,161.38,12995.48,186.975,11216.237
4194304,10,391.13,10723.44,375.101,11181.792
