# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.254 usec; Calculated Bandwidth = 10644.929 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.25,0.0,1.787,0.0
1,1000,0.25,3.92,1.786,0.56
2,1000,0.26,7.82,1.786,1.12
4,1000,0.26,15.67,1.786,2.239
8,1000,0.25,31.77,1.786,4.48
16,1000,0.25,63.42,1.785,8.963
32,1000,0.26,121.77,1.784,17.942
64,1000,0.26,243.38,1.781,35.944
128,1000,0.27,469.61,1.775,72.131
256,1000,0.3,865.95,1.763,145.246
512,1000,0.52,986.7,1.738,294.51
1024,1000,0.58,1769.89,1.69,605.78
2048,1000,0.73,2808.07,1.594,1284.668
4096,1000,0.95,4326.18,1.402,2921.97
8192,1000,1.53,5342.78,1.017,8054.987
16384,1000,2.43,6733.01,0.247,66213.67
32768,1000,3.63,9017.89,1.292,25368.212
65536,640,5.9,11107.33,4.37,14996.904
131072,320,8.87,14779.43,10.527,12451.604
262144,160,15.84,16545.99,22.84,11477.605
524288,80,41.51,12630.78,47.466,11045.596
1048576,40,84.5,12409.36,96.718,10841.562
2097152,20,162.98,12867.21,195.223,10742.346
4194304,10,412.58,10166.11,392.232,10693.415
