# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.42,2.38
2,1000,0.42,4.75
4,1000,0.42,9.52
8,1000,0.42,19.05
16,1000,0.42,38.03
32,1000,0.56,57.62
64,1000,0.56,113.98
128,1000,1.03,124.51
256,1000,1.07,238.19
512,1000,1.18,432.87
1024,1000,1.41,727.31
2048,1000,2.07,987.03
4096,1000,2.95,1390.00
8192,1000,4.66,1756.08
16384,1000,7.11,2305.85
32768,1000,12.71,2577.59
65536,640,24.00,2730.40
131072,320,44.29,2959.46
262144,160,14.70,17831.05
524288,80,26.20,20007.71
1048576,40,59.65,17580.18
2097152,20,158.01,13272.01
4194304,10,336.58,12461.43
