# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.41,2.43
2,1000,0.41,4.82
4,1000,0.42,9.62
8,1000,0.42,19.22
16,1000,0.41,38.66
32,1000,0.57,56.57
64,1000,0.57,112.97
128,1000,1.05,122.08
256,1000,1.06,241.09
512,1000,1.18,433.61
1024,1000,1.42,722.31
2048,1000,2.06,992.71
4096,1000,2.93,1398.02
8192,1000,4.63,1770.43
16384,1000,7.06,2319.66
32768,1000,12.72,2575.45
65536,640,23.64,2771.83
131072,320,44.53,2943.22
262144,160,14.79,17718.66
524288,80,26.37,19885.05
1048576,40,59.06,17754.73
2097152,20,158.37,13242.51
4194304,10,339.56,12352.34
