# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.29,3.49
2,1000,0.28,7.03
4,1000,0.28,14.16
8,1000,0.28,28.19
16,1000,0.30,53.64
32,1000,0.30,107.79
64,1000,0.33,194.25
128,1000,0.39,332.00
256,1000,0.44,586.89
512,1000,0.59,862.51
1024,1000,0.66,1552.75
2048,1000,0.81,2518.90
4096,1000,1.66,2463.52
8192,1000,1.98,4138.06
16384,1000,2.54,6446.34
32768,1000,3.50,9353.82
65536,640,5.44,12057.84
131072,320,9.06,14473.41
262144,160,16.91,15506.17
524288,80,36.82,14238.52
1048576,40,98.23,10674.83
2097152,20,239.14,8769.65
4194304,10,571.54,7338.60
