# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,3.95
2,1000,0.25,7.89
4,1000,0.25,15.83
8,1000,0.25,31.64
16,1000,0.26,62.69
32,1000,0.27,120.60
64,1000,0.27,240.12
128,1000,0.28,459.24
256,1000,0.29,869.55
512,1000,0.54,948.78
1024,1000,0.57,1783.23
2048,1000,0.68,2990.16
4096,1000,0.90,4539.82
8192,1000,1.49,5485.24
16384,1000,2.40,6822.32
32768,1000,3.63,9032.01
65536,640,5.87,11172.50
131072,320,8.89,14743.49
262144,160,15.77,16621.22
524288,80,40.91,12817.02
1048576,40,83.62,12539.47
2097152,20,165.18,12696.31
4194304,10,399.00,10512.02
8388608,5,1042.16,8049.23
16777216,2,2179.21,7698.75
33554432,1,6047.92,5548.10
67108864,1,12432.62,5397.81
134217728,1,25707.36,5220.99
268435456,1,52654.73,5098.03
