# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.03,0.00
1,1000,9.05,0.11
2,1000,9.01,0.22
4,1000,8.99,0.44
8,1000,8.99,0.89
16,1000,9.01,1.77
32,1000,9.02,3.55
64,1000,9.19,6.96
128,1000,9.24,13.85
256,1000,9.23,27.74
512,1000,10.70,47.84
1024,1000,10.89,94.03
2048,1000,11.22,182.60
4096,1000,12.71,322.36
8192,1000,13.91,588.83
16384,1000,25.45,643.82
32768,1000,37.87,865.29
65536,640,57.00,1149.82
131072,320,101.63,1289.75
262144,160,124.63,2103.40
524288,80,181.68,2885.72
1048576,40,334.85,3131.51
2097152,20,669.71,3131.43
4194304,10,1323.23,3169.74
8388608,5,2618.02,3204.18
16777216,2,5405.42,3103.78
33554432,1,11005.53,3048.87
67108864,1,21602.00,3106.60
134217728,1,43165.91,3109.35
268435456,1,85758.02,3130.15
