# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.19,0.00
1,1000,10.09,0.10
2,1000,10.08,0.20
4,1000,10.09,0.40
8,1000,10.14,0.79
16,1000,10.03,1.59
32,1000,10.07,3.18
64,1000,8.79,7.28
128,1000,8.73,14.67
256,1000,8.79,29.11
512,1000,11.17,45.85
1024,1000,11.85,86.41
2048,1000,14.77,138.69
4096,1000,15.56,263.30
8192,1000,17.37,471.52
16384,1000,28.49,575.14
32768,1000,42.24,775.71
65536,640,68.36,958.73
131072,320,126.41,1036.91
262144,160,204.05,1284.73
524288,80,318.74,1644.86
1048576,40,529.13,1981.69
2097152,20,952.04,2202.79
4194304,10,1731.68,2422.10
8388608,5,3601.52,2329.18
16777216,2,7350.03,2282.60
33554432,1,14983.34,2239.45
67108864,1,29602.88,2266.97
134217728,1,58554.18,2292.20
268435456,1,119241.23,2251.20
