# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.51,0.00
1,1000,0.47,2.11
2,1000,0.48,4.17
4,1000,0.49,8.19
8,1000,0.50,16.16
16,1000,0.46,34.47
32,1000,0.50,63.53
64,1000,0.51,124.56
128,1000,0.50,257.57
256,1000,0.48,534.94
512,1000,0.77,667.82
1024,1000,0.84,1219.84
2048,1000,0.98,2096.63
4096,1000,1.15,3563.49
8192,1000,1.60,5116.45
16384,1000,2.42,6759.45
32768,1000,3.59,9121.99
65536,640,6.01,10908.35
131072,320,8.89,14736.54
262144,160,15.77,16623.48
524288,80,42.39,12366.86
1048576,40,83.88,12501.39
2097152,20,163.05,12861.92
4194304,10,395.90,10594.37
8388608,5,1029.15,8151.00
16777216,2,2161.97,7760.15
33554432,1,6038.69,5556.57
67108864,1,12449.48,5390.50
134217728,1,25599.53,5242.98
268435456,1,52751.48,5088.68
