# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.50,2.02
2,1000,0.49,4.06
4,1000,0.49,8.14
8,1000,0.49,16.27
16,1000,0.49,32.53
32,1000,0.78,40.94
64,1000,0.73,87.72
128,1000,1.24,103.53
256,1000,1.27,201.34
512,1000,1.34,381.50
1024,1000,1.58,647.05
2048,1000,2.22,923.02
4096,1000,3.10,1319.41
8192,1000,4.81,1703.55
16384,1000,4.94,3318.13
32768,1000,5.88,5573.92
65536,640,7.11,9211.83
131072,320,9.51,13787.40
262144,160,14.91,17582.79
524288,80,26.23,19989.70
1048576,40,61.16,17144.06
2097152,20,165.62,12662.28
4194304,10,356.36,11769.71
8388608,5,788.74,10635.43
16777216,2,2469.25,6794.45
33554432,1,6820.57,4919.59
67108864,1,13826.11,4853.78
134217728,1,27880.96,4813.96
268435456,1,53943.67,4976.22
