# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.26
2,1000,0.44,4.50
4,1000,0.44,9.05
8,1000,0.44,18.00
16,1000,0.44,36.41
32,1000,0.48,66.16
64,1000,0.48,133.80
128,1000,0.59,217.99
256,1000,0.63,407.08
512,1000,0.94,544.17
1024,1000,1.01,1014.95
2048,1000,1.15,1783.28
4096,1000,1.62,2521.42
8192,1000,2.15,3811.35
16384,1000,3.62,4529.94
32768,1000,5.34,6132.48
65536,640,9.12,7184.18
131072,320,15.17,8642.67
262144,160,29.27,8957.06
524288,80,66.93,7833.43
1048576,40,132.77,7897.77
2097152,20,256.92,8162.62
4194304,10,514.08,8158.86
8388608,5,1073.63,7813.29
16777216,2,2402.01,6984.66
33554432,1,7838.02,4280.98
67108864,1,15721.93,4268.49
134217728,1,31499.70,4260.92
268435456,1,62760.65,4277.13
