# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.09,0.00
1,1000,5.12,0.20
2,1000,5.10,0.39
4,1000,5.09,0.79
8,1000,5.10,1.57
16,1000,5.11,3.13
32,1000,5.13,6.24
64,1000,5.13,12.48
128,1000,5.16,24.83
256,1000,5.20,49.21
512,1000,6.52,78.50
1024,1000,6.71,152.62
2048,1000,6.92,296.00
4096,1000,7.48,547.92
8192,1000,8.32,984.28
16384,1000,14.68,1116.22
32768,1000,22.44,1460.10
65536,640,39.17,1673.22
131072,320,73.15,1791.77
262144,160,53.31,4916.99
524288,80,89.07,5886.55
1048576,40,152.50,6875.89
2097152,20,303.41,6912.05
4194304,10,642.73,6525.80
8388608,5,1502.97,5581.35
16777216,2,3215.44,5217.70
33554432,1,6510.04,5154.26
67108864,1,13048.31,5143.11
134217728,1,25985.43,5165.11
268435456,1,51964.55,5165.74
