# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.67,0.00
1,1000,0.70,1.42
2,1000,0.68,2.93
4,1000,0.67,5.95
8,1000,0.69,11.64
16,1000,0.68,23.57
32,1000,0.71,45.10
64,1000,0.71,90.25
128,1000,0.74,173.15
256,1000,0.68,375.18
512,1000,1.11,462.37
1024,1000,1.22,841.24
2048,1000,1.33,1534.77
4096,1000,1.83,2242.72
8192,1000,2.38,3449.19
16384,1000,3.56,4597.51
32768,1000,5.47,5993.86
65536,640,9.37,6996.44
131072,320,15.37,8528.54
262144,160,28.24,9281.57
524288,80,67.55,7761.81
1048576,40,132.79,7896.37
2097152,20,257.39,8147.82
4194304,10,513.30,8171.20
8388608,5,1064.09,7883.37
16777216,2,2421.02,6929.82
33554432,1,7971.41,4209.35
67108864,1,15815.97,4243.11
134217728,1,31571.38,4251.25
268435456,1,62830.43,4272.38
