# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.29,3.48
2,1000,0.28,7.04
4,1000,0.28,14.35
8,1000,0.28,28.66
16,1000,0.30,54.18
32,1000,0.30,107.85
64,1000,0.32,200.19
128,1000,0.38,338.28
256,1000,0.43,592.98
512,1000,0.59,871.05
1024,1000,0.68,1510.93
2048,1000,0.82,2509.49
4096,1000,1.72,2387.75
8192,1000,1.95,4205.56
16384,1000,2.50,6558.20
32768,1000,3.49,9389.98
65536,640,5.55,11809.68
131072,320,9.34,14037.86
262144,160,16.82,15588.96
524288,80,37.35,14038.11
1048576,40,98.48,10647.67
2097152,20,243.87,8599.62
4194304,10,562.27,7459.54
8388608,5,1736.01,4832.13
16777216,2,4235.00,3961.56
33554432,1,8871.67,3782.20
67108864,1,17467.86,3841.85
134217728,1,34270.95,3916.37
268435456,1,66389.40,4043.35
