# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.01,0.00
1,1000,16.04,0.06
2,1000,15.95,0.13
4,1000,16.04,0.25
8,1000,16.02,0.50
16,1000,16.06,1.00
32,1000,16.09,1.99
64,1000,16.12,3.97
128,1000,16.91,7.57
256,1000,16.62,15.40
512,1000,16.91,30.28
1024,1000,17.36,58.99
2048,1000,39.21,52.23
4096,1000,39.62,103.38
8192,1000,40.27,203.42
16384,1000,42.23,387.94
32768,1000,49.16,666.61
65536,640,147.19,445.24
131072,320,175.11,748.50
262144,160,241.41,1085.87
524288,80,355.18,1476.13
1048576,40,578.00,1814.14
2097152,20,1062.22,1974.31
4194304,10,2342.33,1790.66
8388608,5,4939.05,1698.42
16777216,2,9868.61,1700.06
33554432,1,19717.39,1701.77
67108864,1,38920.46,1724.26
134217728,1,77860.05,1723.83
268435456,1,154524.25,1737.17
