# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.69
2,1000,0.21,9.52
4,1000,0.21,18.93
8,1000,0.21,37.75
16,1000,0.21,74.99
32,1000,0.25,127.88
64,1000,0.26,249.30
128,1000,0.35,363.28
256,1000,0.38,671.34
512,1000,0.46,1112.91
1024,1000,0.56,1813.63
2048,1000,0.77,2654.79
4096,1000,1.14,3582.85
8192,1000,1.90,4301.92
16384,1000,2.95,5550.15
32768,1000,4.73,6930.37
65536,640,8.08,8115.21
131072,320,14.67,8937.18
262144,160,13.99,18731.82
524288,80,25.21,20795.17
1048576,40,60.47,17339.35
2097152,20,159.07,13183.70
4194304,10,341.66,12276.08
8388608,5,966.01,8683.74
16777216,2,2521.93,6652.54
33554432,1,5554.04,6041.45
67108864,1,11033.31,6082.38
134217728,1,21834.19,6147.13
268435456,1,43414.34,6183.11
