# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.71
2,1000,0.21,9.37
4,1000,0.22,18.11
8,1000,0.22,37.20
16,1000,0.22,72.27
32,1000,0.25,127.73
64,1000,0.24,262.26
128,1000,0.35,367.91
256,1000,0.37,689.98
512,1000,0.46,1117.37
1024,1000,0.56,1821.74
2048,1000,0.77,2647.69
4096,1000,1.14,3588.46
8192,1000,1.89,4324.42
16384,1000,2.98,5504.97
32768,1000,4.77,6866.53
65536,640,8.20,7990.18
131072,320,14.71,8912.08
262144,160,14.00,18722.06
524288,80,25.56,20511.73
1048576,40,59.47,17631.45
2097152,20,159.61,13138.97
4194304,10,339.94,12338.53
8388608,5,972.45,8626.30
16777216,2,2524.71,6645.19
33554432,1,5485.35,6117.10
67108864,1,11206.94,5988.15
134217728,1,21923.53,6122.09
268435456,1,43541.24,6165.09
