# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,13.76,0.00
1,1000,13.73,0.07
2,1000,13.64,0.15
4,1000,13.56,0.29
8,1000,13.63,0.59
16,1000,13.69,1.17
32,1000,13.54,2.36
64,1000,13.68,4.68
128,1000,13.74,9.32
256,1000,13.76,18.60
512,1000,12.93,39.59
1024,1000,13.15,77.87
2048,1000,14.29,143.36
4096,1000,15.45,265.15
8192,1000,17.75,461.56
16384,1000,22.93,714.39
32768,1000,37.17,881.48
65536,640,80.22,816.97
131072,320,121.70,1077.00
262144,160,207.72,1261.99
524288,80,309.88,1691.89
1048576,40,506.78,2069.11
2097152,20,920.28,2278.83
4194304,10,1800.72,2329.24
8388608,5,3582.40,2341.62
16777216,2,7286.11,2302.63
33554432,1,14757.09,2273.78
67108864,1,29568.56,2269.60
134217728,1,58992.41,2275.17
268435456,1,116826.64,2297.72
