# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.65,0.00
1,1000,0.65,1.54
2,1000,0.64,3.13
4,1000,0.66,6.08
8,1000,0.67,12.02
16,1000,0.65,24.44
32,1000,0.69,46.36
64,1000,0.68,93.92
128,1000,0.76,169.13
256,1000,0.67,379.44
512,1000,1.16,439.79
1024,1000,1.25,819.81
2048,1000,1.36,1506.05
4096,1000,1.83,2240.39
8192,1000,2.26,3632.02
16384,1000,3.47,4720.43
32768,1000,5.47,5987.61
65536,640,9.25,7088.60
131072,320,15.36,8531.73
262144,160,28.20,9296.08
524288,80,68.06,7703.82
1048576,40,133.23,7870.21
2097152,20,257.43,8146.53
4194304,10,512.97,8176.52
8388608,5,1062.32,7896.53
16777216,2,2355.24,7123.37
33554432,1,7903.80,4245.35
67108864,1,15864.57,4230.11
134217728,1,31435.31,4269.65
268435456,1,62946.34,4264.51
