# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.27
2,1000,0.44,4.50
4,1000,0.44,9.03
8,1000,0.44,17.99
16,1000,0.44,36.22
32,1000,0.49,65.88
64,1000,0.48,133.08
128,1000,0.58,220.36
256,1000,0.63,405.00
512,1000,0.94,546.09
1024,1000,0.98,1045.74
2048,1000,1.13,1808.66
4096,1000,1.62,2522.31
8192,1000,2.08,3932.04
16384,1000,3.56,4598.73
32768,1000,5.31,6175.52
65536,640,9.47,6920.05
131072,320,15.22,8610.29
262144,160,28.95,9055.97
524288,80,66.75,7854.72
1048576,40,133.10,7878.38
2097152,20,257.03,8159.17
4194304,10,511.83,8194.66
8388608,5,1074.33,7808.24
16777216,2,2327.40,7208.56
33554432,1,7944.92,4223.38
67108864,1,15754.27,4259.73
134217728,1,31582.65,4249.73
268435456,1,62732.60,4279.04
