# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.25,3.93
2,1000,0.26,7.84
4,1000,0.25,15.69
8,1000,0.26,31.35
16,1000,0.26,62.66
32,1000,0.27,118.97
64,1000,0.27,237.25
128,1000,0.28,460.20
256,1000,0.30,862.55
512,1000,0.51,997.86
1024,1000,0.58,1779.41
2048,1000,0.71,2886.68
4096,1000,0.91,4490.61
8192,1000,1.50,5449.68
16384,1000,2.39,6846.65
32768,1000,3.59,9123.78
65536,640,6.00,10931.25
131072,320,8.86,14798.27
262144,160,15.56,16843.62
524288,80,42.39,12368.49
1048576,40,83.94,12491.37
2097152,20,164.43,12754.10
4194304,10,407.22,10299.83
8388608,5,1039.15,8072.59
16777216,2,2182.16,7688.36
33554432,1,6045.48,5550.34
67108864,1,12528.07,5356.68
134217728,1,25892.70,5183.61
268435456,1,52732.36,5090.53
