# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.29,3.44
2,1000,0.29,6.86
4,1000,0.30,13.46
8,1000,0.29,27.15
16,1000,0.29,54.83
32,1000,0.30,106.56
64,1000,0.30,212.39
128,1000,0.30,420.86
256,1000,0.32,809.32
512,1000,0.57,902.27
1024,1000,0.61,1691.33
2048,1000,0.73,2801.19
4096,1000,0.96,4270.41
8192,1000,1.50,5452.83
16384,1000,2.38,6890.84
32768,1000,3.58,9147.42
65536,640,5.89,11130.26
131072,320,8.84,14824.28
262144,160,15.56,16847.60
524288,80,41.53,12623.43
1048576,40,83.91,12496.42
2097152,20,166.45,12599.12
4194304,10,407.79,10285.39
8388608,5,1030.52,8140.17
16777216,2,2123.65,7900.16
33554432,1,6056.29,5540.43
67108864,1,12522.24,5359.17
134217728,1,25843.45,5193.49
268435456,1,52587.79,5104.52
