# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.66,0.00
1,1000,8.58,0.12
2,1000,8.44,0.24
4,1000,8.41,0.48
8,1000,8.07,0.99
16,1000,8.05,1.99
32,1000,8.09,3.96
64,1000,8.10,7.90
128,1000,8.19,15.63
256,1000,8.22,31.15
512,1000,10.35,49.49
1024,1000,10.66,96.06
2048,1000,12.89,158.93
4096,1000,14.91,274.74
8192,1000,15.80,518.53
16384,1000,26.25,624.10
32768,1000,36.37,900.95
65536,640,60.25,1087.71
131072,320,110.49,1186.32
262144,160,136.20,1924.65
524288,80,233.80,2242.44
1048576,40,432.97,2421.81
2097152,20,804.39,2607.13
4194304,10,1448.86,2894.91
8388608,5,3004.91,2791.63
16777216,2,7086.12,2367.62
33554432,1,13909.79,2412.29
67108864,1,27665.62,2425.71
134217728,1,46748.64,2871.05
268435456,1,93648.29,2866.42
