# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.83,0.00
1,1000,8.17,0.12
2,1000,8.15,0.25
4,1000,8.10,0.49
8,1000,8.05,0.99
16,1000,8.12,1.97
32,1000,8.14,3.93
64,1000,8.10,7.90
128,1000,8.26,15.49
256,1000,8.22,31.14
512,1000,10.59,48.35
1024,1000,11.30,90.63
2048,1000,14.39,142.32
4096,1000,14.15,289.56
8192,1000,16.97,482.72
16384,1000,26.37,621.23
32768,1000,35.71,917.51
65536,640,60.31,1086.65
131072,320,111.09,1179.89
262144,160,136.83,1915.81
524288,80,238.21,2200.96
1048576,40,463.31,2263.24
2097152,20,784.85,2672.03
4194304,10,1479.99,2834.01
8388608,5,2961.53,2832.53
16777216,2,5889.38,2848.72
33554432,1,14691.30,2283.97
67108864,1,23257.90,2885.42
134217728,1,44798.16,2996.05
268435456,1,91747.89,2925.79
