# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.92,0.00
1,1000,5.00,0.20
2,1000,5.01,0.40
4,1000,5.01,0.80
8,1000,5.02,1.59
16,1000,5.02,3.19
32,1000,5.02,6.37
64,1000,5.06,12.65
128,1000,5.10,25.12
256,1000,5.12,49.98
512,1000,5.16,99.23
1024,1000,5.70,179.79
2048,1000,5.55,368.69
4096,1000,6.40,639.85
8192,1000,6.85,1195.95
16384,1000,8.84,1853.01
32768,1000,14.10,2323.44
65536,640,29.17,2247.00
131072,320,36.39,3601.72
262144,160,50.90,5150.56
524288,80,85.28,6147.77
1048576,40,146.30,7167.51
2097152,20,307.29,6824.73
4194304,10,659.21,6362.59
8388608,5,1557.02,5387.60
16777216,2,3308.62,5070.76
33554432,1,6602.80,5081.85
67108864,1,13224.48,5074.59
134217728,1,26105.86,5141.29
268435456,1,51909.12,5171.26
