# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.46,0.00
1,1000,0.42,2.36
2,1000,0.43,4.66
4,1000,0.42,9.42
8,1000,0.43,18.64
16,1000,0.43,37.36
32,1000,0.58,55.62
64,1000,0.57,112.01
128,1000,1.12,114.24
256,1000,1.13,226.63
512,1000,1.22,418.08
1024,1000,1.46,702.15
2048,1000,2.26,904.27
4096,1000,3.11,1318.02
8192,1000,4.93,1660.61
16384,1000,7.82,2094.61
32768,1000,13.55,2417.86
65536,640,25.16,2604.28
131072,320,47.51,2758.63
262144,160,14.90,17592.57
524288,80,26.94,19458.18
1048576,40,61.90,16940.38
2097152,20,163.62,12817.29
4194304,10,353.52,11864.50
8388608,5,777.40,10790.64
16777216,2,2482.34,6758.62
33554432,1,6819.44,4920.41
67108864,1,14019.94,4786.67
134217728,1,27646.80,4854.73
268435456,1,53979.25,4972.94
