# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.56
2,1000,0.28,7.22
4,1000,0.29,13.74
8,1000,0.28,28.62
16,1000,0.29,54.94
32,1000,0.29,109.33
64,1000,0.32,201.79
128,1000,0.39,331.50
256,1000,0.40,642.12
512,1000,0.58,878.61
1024,1000,0.69,1484.90
2048,1000,0.81,2529.80
4096,1000,1.65,2480.47
8192,1000,2.02,4053.29
16384,1000,2.53,6472.81
32768,1000,3.50,9351.81
65536,640,5.50,11909.46
131072,320,9.26,14154.20
262144,160,16.84,15569.86
524288,80,36.62,14316.08
1048576,40,98.13,10685.62
2097152,20,244.74,8568.80
4194304,10,577.02,7268.87
8388608,5,1730.60,4847.23
16777216,2,4238.40,3958.38
33554432,1,8872.38,3781.90
67108864,1,17483.51,3838.41
134217728,1,34254.61,3918.24
268435456,1,66367.26,4044.70
