# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.73
2,1000,0.21,9.58
4,1000,0.21,18.95
8,1000,0.21,37.75
16,1000,0.21,75.32
32,1000,0.25,127.06
64,1000,0.25,258.48
128,1000,0.35,369.13
256,1000,0.37,694.18
512,1000,0.45,1127.38
1024,1000,0.56,1843.27
2048,1000,0.77,2646.39
4096,1000,1.15,3576.76
8192,1000,1.89,4331.66
16384,1000,2.95,5550.67
32768,1000,4.73,6929.79
65536,640,8.08,8110.61
131072,320,14.66,8939.34
262144,160,13.91,18840.43
524288,80,25.06,20919.19
1048576,40,59.55,17609.43
2097152,20,158.36,13243.05
4194304,10,343.45,12212.33
8388608,5,972.30,8627.61
16777216,2,2521.82,6652.81
33554432,1,5659.59,5928.77
67108864,1,11021.95,6088.66
134217728,1,22224.29,6039.23
268435456,1,43539.37,6165.35
