# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.35,1.48
4,1000,1.36,2.94
8,1000,1.36,5.86
16,1000,1.36,11.77
32,1000,1.39,23.09
64,1000,1.69,37.91
128,1000,1.73,74.13
256,1000,1.99,128.94
512,1000,2.08,246.38
1024,1000,2.32,441.01
2048,1000,2.97,690.19
4096,1000,3.91,1047.03
8192,1000,5.51,1486.89
16384,1000,7.25,2259.01
32768,1000,10.09,3247.43
65536,640,14.45,4533.99
131072,320,23.58,5557.97
262144,160,33.20,7895.87
524288,80,55.51,9445.35
1048576,40,98.82,10611.25
2097152,20,184.75,11351.02
4194304,10,354.58,11829.07
8388608,5,697.85,12020.66
16777216,2,1383.43,12127.26
33554432,1,2756.94,12170.88
67108864,1,5504.52,12191.59
134217728,1,11021.51,12177.80
268435456,1,22067.96,12164.03
