# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.57,1.75
2,1000,0.57,3.52
4,1000,0.57,6.99
8,1000,0.56,14.24
16,1000,0.61,26.12
32,1000,0.68,47.35
64,1000,0.70,91.89
128,1000,0.91,140.79
256,1000,1.08,236.77
512,1000,1.24,412.03
1024,1000,1.40,730.86
2048,1000,1.93,1059.38
4096,1000,2.66,1538.03
8192,1000,2.96,2765.71
16384,1000,3.48,4706.15
32768,1000,4.52,7253.80
65536,640,6.54,10020.67
131072,320,10.37,12633.58
262144,160,17.82,14709.45
524288,80,38.12,13751.93
1048576,40,100.80,10402.79
2097152,20,245.76,8533.49
4194304,10,498.32,8416.90
8388608,5,1245.28,6736.34
16777216,2,4249.41,3948.12
33554432,1,10766.99,3116.42
67108864,1,21955.84,3056.54
134217728,1,43276.90,3101.37
268435456,1,84261.55,3185.74
