# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.36,0.00
1,1000,1.36,0.74
2,1000,1.35,1.48
4,1000,1.36,2.94
8,1000,1.36,5.90
16,1000,1.36,11.79
32,1000,1.39,23.06
64,1000,1.70,37.72
128,1000,1.72,74.21
256,1000,1.99,128.59
512,1000,2.07,247.36
1024,1000,2.32,441.97
2048,1000,2.97,689.99
4096,1000,3.94,1038.74
8192,1000,5.52,1484.14
16384,1000,7.33,2235.27
32768,1000,10.00,3277.65
65536,640,14.47,4529.61
131072,320,23.52,5573.51
262144,160,33.16,7905.23
524288,80,58.14,9018.37
1048576,40,98.82,10610.82
2097152,20,184.53,11364.74
4194304,10,354.98,11815.72
8388608,5,698.39,12011.36
16777216,2,1383.57,12126.05
33554432,1,2758.08,12165.86
67108864,1,5504.39,12191.88
134217728,1,11020.05,12179.41
268435456,1,22065.82,12165.22
