# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.45,2.24
2,1000,0.42,4.78
4,1000,0.41,9.70
8,1000,0.42,19.08
16,1000,0.42,38.48
32,1000,0.56,56.76
64,1000,0.56,114.07
128,1000,1.04,122.97
256,1000,1.06,242.13
512,1000,1.18,433.60
1024,1000,1.43,715.31
2048,1000,2.07,988.76
4096,1000,2.95,1387.97
8192,1000,4.68,1750.93
16384,1000,7.09,2311.92
32768,1000,12.69,2583.03
65536,640,23.81,2752.70
131072,320,44.27,2960.95
262144,160,14.79,17719.52
524288,80,25.92,20226.62
1048576,40,60.93,17210.30
2097152,20,161.45,12989.73
4194304,10,351.46,11933.82
8388608,5,768.72,10912.45
16777216,2,2415.20,6946.50
33554432,1,6759.77,4963.84
67108864,1,13957.03,4808.25
134217728,1,27231.13,4928.83
268435456,1,53582.20,5009.79
