# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.95,0.00
1,1000,5.03,0.20
2,1000,5.01,0.40
4,1000,5.02,0.80
8,1000,5.02,1.59
16,1000,5.02,3.19
32,1000,5.05,6.34
64,1000,5.05,12.67
128,1000,5.09,25.16
256,1000,5.15,49.73
512,1000,5.19,98.67
1024,1000,5.88,174.01
2048,1000,5.57,367.41
4096,1000,6.46,633.78
8192,1000,6.87,1192.62
16384,1000,8.96,1829.51
32768,1000,14.37,2280.54
65536,640,29.23,2241.87
131072,320,36.63,3578.64
262144,160,50.88,5151.71
524288,80,85.45,6135.65
1048576,40,147.41,7113.50
2097152,20,306.21,6848.69
4194304,10,652.01,6432.88
8388608,5,1566.06,5356.51
16777216,2,3316.92,5058.06
33554432,1,6675.13,5026.79
67108864,1,13230.84,5072.15
134217728,1,26264.68,5110.20
268435456,1,52183.94,5144.02
