# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.74,0.00
1,1000,15.79,0.06
2,1000,15.75,0.13
4,1000,15.77,0.25
8,1000,15.77,0.51
16,1000,15.76,1.02
32,1000,15.77,2.03
64,1000,15.91,4.02
128,1000,16.47,7.77
256,1000,16.29,15.72
512,1000,16.54,30.95
1024,1000,16.98,60.32
2048,1000,38.96,52.57
4096,1000,39.09,104.79
8192,1000,40.20,203.76
16384,1000,42.04,389.76
32768,1000,49.08,667.61
65536,640,147.26,445.04
131072,320,171.27,765.29
262144,160,234.66,1117.11
524288,80,353.80,1481.87
1048576,40,576.96,1817.41
2097152,20,1059.91,1978.61
4194304,10,2317.16,1810.10
8388608,5,4923.28,1703.86
16777216,2,9782.15,1715.08
33554432,1,19604.22,1711.59
67108864,1,38834.99,1728.05
134217728,1,77487.09,1732.13
268435456,1,154411.48,1738.44
